page,xmin,ymin,xmax,ymax,text,is_upper,is_bold,span_font,font_size
1,767.4788208007812,308.48394775390625,771.697998046875,336.6839599609375,(,False,False,HelveticaLTMM_1_1000,17.43807601928711
1,772.3171997070312,308.48394775390625,779.5172119140625,336.6839599609375,0,False,False,HelveticaLTMM_1_1000,18.59031867980957
1,780.1364135742188,308.48394775390625,784.1251831054688,336.6839599609375,-,False,False,HelveticaLTMM_1_667,18.59031867980957
1,784.84521484375,308.48394775390625,800.5988159179688,336.6839599609375,61,False,False,HelveticaLTMM_1_1000,18.59031867980957
1,660.2479248046875,339.2639465332031,809.1258544921875,349.2269592285156,Dr. David Kun-shi Lu will replace,False,False,TimesNewRomanPSMT,9.0
1,488.64788818359375,349.5630187988281,809.3451538085938,359.5260314941406,demie dishonesty is not enough. We ' Dr. Samuel C. Chu next year as an,False,False,TimesNewRomanPSMT,9.0
1,489.097900390625,359.6629943847656,809.3095092773438,369.6260070800781,must realize that the problem does j assistant professor in the history de-,False,False,TimesNewRomanPSMT,9.0
1,489.097900390625,369.7629699707031,578.7289428710938,379.7259826660156,not exist in vacuo.,False,False,TimesNewRomanPSMT,9.0
1,589.6819458007812,369.7629699707031,809.5612182617188,379.7259826660156,"Hence, many partment. Dr. Chu, who has been",False,False,TimesNewRomanPSMT,9.0
1,489.347900390625,379.8120422363281,809.5862426757812,389.7750549316406,cognate matters should be carefully : a member of this University's fac-,False,False,TimesNewRomanPSMT,9.0
1,489.347900390625,390.1119689941406,523.9979248046875,400.0749816894531,"studied,",False,False,TimesNewRomanPSMT,9.0
1,531.3509521484375,390.1119689941406,573.4440307617188,400.0749816894531,fearlessly,False,False,TimesNewRomanPSMT,9.0
1,581.0400390625,390.1119689941406,620.9280395507812,400.0749816894531,"reported,",False,False,TimesNewRomanPSMT,9.0
1,628.5240478515625,390.1119689941406,810.3422241210938,400.0749816894531,"and, ulty for two years, has accepted the",False,False,TimesNewRomanPSMT,9.0
1,489.597900390625,400.2109680175781,819.4466552734375,410.1739807128906,"after discussion by students, faculty | position of an associate professor of j j",False,False,TimesNewRomanPSMT,9.0
1,489.847900390625,410.2610168457031,617.6119995117188,420.2240295410156,and administration corrected.,False,False,TimesNewRomanPSMT,9.0
1,652.3609619140625,410.2610168457031,816.1430053710938,420.2240295410156,history at the University of Pitts- |,False,False,TimesNewRomanPSMT,9.0
1,812.8978881835938,285.4609680175781,974.933349609375,295.4239807128906,minister Theological Seminary in |,False,False,TimesNewRomanPSMT,9.0
1,983.9873046875,285.4609680175781,1132.927978515625,295.4239807128906,Although Dr. Chu will be leaving,False,False,TimesNewRomanPSMT,9.0
1,812.8978881835938,295.8099670410156,1133.31494140625,305.7729797363281,"Philadelphia, where he ""acquired a ' the University faculty, he will re-",False,False,TimesNewRomanPSMT,9.0
1,812.8978881835938,306.1589660644531,1094.7784423828125,316.1219787597656,strong background in ancient and j turn periodically to lecture.,False,False,TimesNewRomanPSMT,9.0
1,813.097900390625,316.6589660644531,975.1972045898438,326.6219787597656,"medieval history"" and at the School i",False,False,TimesNewRomanPSMT,9.0
1,1030.7991943359375,316.6589660644531,1075.17724609375,326.6219787597656,---------------,False,False,TimesNewRomanPSMT,9.0
1,813.347900390625,326.2589416503906,971.0818481445312,336.2219543457031,of International Affairs at Colum -,False,False,TimesNewRomanPSMT,9.0
1,971.7379150390625,327.8029479980469,973.9288940429688,336.0279541015625,1,False,False,HelveticaLTMM_1_1,6.786535263061523
1,1009.6380004882812,326.2589416503906,1097.369140625,336.2219543457031,--Drive Carefully!--,False,True,TimesNewRomanPS-BoldMT,9.0
1,813.597900390625,335.8590393066406,830.742919921875,345.8220520019531,bia.,False,False,TimesNewRomanPSMT,9.0
1,988.097900390625,335.8590393066406,1119.291259765625,345.8220520019531,Drink and Driving Don't Mix I,False,True,TimesNewRomanPS-BoldMT,9.0
1,831.7958984375,365.6270446777344,863.56787109375,426.72705078125,G,True,False,HelveticaLTMM_1_1000,52.0
1,866.3859252929688,372.50201416015625,999.701904296875,406.5770263671875,AM PUSte,False,False,HelveticaLTMM_1_1000,29.0
1,872.8969116210938,400.7669982910156,957.0270385742188,411.8370056152344,L E W I S B U R G,True,True,TimesNewRomanPS-BoldMT,10.0
1,1033.447021484375,379.0580139160156,1107.634033203125,389.0210266113281,The Spot To Rest,False,True,TimesNewRomanPS-BoldMT,9.0
1,1026.947021484375,393.0079650878906,1113.842041015625,402.9709777832031,Those Weary Brains,False,True,TimesNewRomanPS-BoldMT,9.0
1,164.1468963623047,489.2579650878906,323.8519287109375,499.2209777832031,basis of their moral principles.--A,False,False,TimesNewRomanPSMT,9.0
1,164.3968963623047,499.8070373535156,224.2378387451172,509.7700500488281,tiny minority.,False,False,TimesNewRomanPSMT,9.0
1,173.99679565429688,511.5570373535156,324.53070068359375,521.52001953125,2. Students who are hardly ever,False,False,TimesNewRomanPSMT,9.0
